HitTime,HitLocalTime,HitX,HitY,Arc,OriginX,OriginY,Made,HitBackboard,TimeInSeconds,ShotDistance,ShotAngle,ClusterID
1627487015650,2021-07-28 18:43:35,-2.0,-43.0,37.5,-2496,6758,1,0,67415,7243.868924821873,-69.86146874359994,5
1627487025528,2021-07-28 18:43:45,-44.0,-140.0,39.2,-2973,6474,1,0,67425,7233.535580889888,-66.11391393139697,5
1627487034845,2021-07-28 18:43:54,-29.0,-91.0,37.4,-2809,6954,1,0,67434,7573.66654930094,-68.46550529497893,5
1627487046020,2021-07-28 18:44:06,-103.0,-36.0,37.3,1271,7160,1,0,67446,7326.001092001011,79.19009295626421,5
1627487055362,2021-07-28 18:44:15,-95.0,-153.0,36.5,1217,6550,0,0,67455,6830.194213929792,78.9253232306451,5
1627487064730,2021-07-28 18:44:24,144.0,-229.0,34.4,807,7017,0,0,67464,7276.268617911243,84.77206437537025,5
1627487074290,2021-07-28 18:44:34,84.0,106.0,37.4,1088,7118,0,0,67474,7083.513252616953,81.85159520931175,5
1627487085283,2021-07-28 18:44:45,64.0,-155.0,36.4,912,6960,0,0,67485,7165.356167002447,83.20327432203494,5
1627487095590,2021-07-28 18:44:55,42.0,-202.0,37.4,1323,7142,0,0,67495,7454.8841037268985,80.10555109546848,5
1627487105724,2021-07-28 18:45:05,-65.0,147.0,38.1,1553,7143,0,0,67505,7180.664314671728,76.97787224114067,5
1627487115727,2021-07-28 18:45:15,6.0,60.0,34.7,1821,7105,1,0,67515,7275.042955199646,75.55307536412448,5
1627487125015,2021-07-28 18:45:25,-122.0,-103.0,37.8,1611,6738,0,0,67525,7057.093594391391,75.78456627408936,5
1627487134755,2021-07-28 18:45:34,107.0,56.0,36.5,1422,7431,1,0,67534,7491.318308548904,79.89011782156209,5
1627487145534,2021-07-28 18:45:45,-59.0,-26.0,37.0,5593,4919,1,0,67545,7509.868773820219,41.18305431205803,5
1627487155495,2021-07-28 18:45:55,31.0,120.0,38.0,5094,5293,0,0,67555,7238.362936465675,45.61569882254409,5
1627487165666,2021-07-28 18:46:05,11.0,80.0,39.1,5424,5048,1,0,67565,7347.216683887852,42.54541740829987,5
1627487175783,2021-07-28 18:46:15,75.0,232.0,37.8,6051,4771,0,0,67575,7504.338545135074,37.21805672857789,5
1627487187911,2021-07-28 18:46:27,4.0,30.0,37.4,5628,4945,1,0,67587,7469.042843631304,41.15128661410728,5
1627487206466,2021-07-28 18:46:46,-100.0,43.0,40.7,6694,1334,1,1,67606,6915.57061998502,10.759106608019238,5
1627487214811,2021-07-28 18:46:54,-113.0,-79.0,36.8,6329,1094,1,1,67614,6547.922800400139,10.31971669860846,5
1627487223263,2021-07-28 18:47:03,-18.0,-123.0,38.7,7024,-330,1,0,67623,7045.041731601027,-1.6837279337369182,5
1627487239932,2021-07-28 18:47:19,-40.0,64.0,40.2,-108,4576,1,0,67639,4512.51238225448,-89.13656514430986,5
1627487246536,2021-07-28 18:47:26,-35.0,103.0,39.3,-16,4374,1,0,67646,4271.042261556306,89.74511528224436,5
1627487252713,2021-07-28 18:47:32,-11.0,40.0,37.5,146,4367,1,0,67652,4329.847341419787,87.92200301391887,5
1627487258675,2021-07-28 18:47:38,-28.0,93.0,41.1,134,4403,1,0,67658,4313.043473001402,87.84743645680234,5
1627487264791,2021-07-28 18:47:44,26.0,-39.0,41.7,-71,4338,1,0,67664,4378.074691002884,-88.73045898012246,5
1627487283701,2021-07-28 18:48:03,-2.0,81.0,44.7,-83,4477,1,0,67683,4396.746183258706,-88.94439649050211,5
1627487307402,2021-07-28 18:48:27,139.0,-99.0,47.9,-3407,2919,0,0,67707,4656.440700792828,-40.40110056271776,5
1627487336910,2021-07-28 18:48:56,78.0,-198.0,45.1,-3867,1701,0,0,67736,4378.267465562149,-25.704713393071447,5
1627575208197,2021-07-29 19:13:28,-94.0,169.0,54.5,-2662,2053,0,0,69208,3184.9772369673224,-36.26544312102379,6
