HitTime,HitLocalTime,HitX,HitY,Arc,OriginX,OriginY,Made,HitBackboard,TimeInSeconds,ShotDistance,ShotAngle,Corner_Right,Wing_Right,TOP,Wing_Left,Corner_Left,ClusterID,Norm_ShotDistance,Norm_ShotAngle,Norm_TimeInSeconds,Norm_HitX,Norm_HitY,Norm_OriginX,Norm_OriginY
1627575889976,2021-07-29 19:24:49,188.0,-42.0,41.3,-4434,4183,0,0,69889,6262.069067009721,-42.430634685997376,0,1,0,0,0,7,0.565908313926139,-0.9467484454172423,2.018399822325133,1.987235378304994,-0.6256523868171615,-1.1390536344640014,0.22510068242021503
1627575893514,2021-07-29 19:24:53,-7.0,11.0,38.5,-4264,4413,1,0,69893,6123.6960244610445,-45.95936154396169,0,1,0,0,0,7,0.45306974695549274,-1.007293649717781,2.0186379560767693,-0.010861176323694027,-0.11510425870031263,-1.0950204580164442,0.3427331977124327
1627575896696,2021-07-29 19:24:56,21.0,-48.0,41.4,-4430,4341,1,0,69896,6250.977683530793,-44.59815836145352,0,1,0,0,0,7,0.5568636633610272,-0.9839383921144637,2.0188165563904965,0.2760449956229894,-0.6834502881134085,-1.138017559724059,0.30590910596878196
1627575899967,2021-07-29 19:24:59,5.0,30.0,40.9,-4367,4354,1,0,69899,6149.094242244138,-44.68374315936431,0,1,0,0,0,7,0.4737811401970228,-0.9854068393145734,2.0189951567042237,0.11209861165345603,0.06792242873780302,-1.1216993825699642,0.3125579003113856
1627575903376,2021-07-29 19:25:03,62.0,-98.0,41.0,-4241,4025,1,0,69903,5959.441081175314,-43.77620793835429,0,1,0,0,0,7,0.3191253595457365,-0.9698355277402668,2.0192332904558596,0.6961576045449187,-1.1650994655821338,-1.0890630282617746,0.1442922588716481
1627575906704,2021-07-29 19:25:06,59.0,98.0,42.0,-4129,3766,0,0,69906,5567.186722214372,-41.213033677143535,0,1,0,0,0,7,-0.0007448907421551258,-0.925857085783891,2.019411890769587,0.6654176575506312,0.7229653100952695,-1.060052935543384,0.011827817738237753
1627575909875,2021-07-29 19:25:09,105.0,11.0,38.8,-4536,4406,1,0,69909,6391.78425793612,-43.44053993984224,0,1,0,0,0,7,0.6716866937959737,-0.9640762019649675,2.019590491083314,1.1367635114630397,-0.11510425870031263,-1.1654735403325358,0.33915307768180003
1627575913207,2021-07-29 19:25:13,-21.0,-54.0,39.5,-4434,4320,1,0,69913,6213.408484881707,-44.745701521753546,0,1,0,0,0,7,0.5262272441588759,-0.986469908761424,2.0198286248349504,-0.15431426229703574,-0.7412481894096555,-1.1390536344640014,0.29516874587688385
1627575916660,2021-07-29 19:25:16,137.0,-29.0,40.2,-4541,4670,1,0,69916,6630.556914769679,-45.12831495768668,0,1,0,0,0,7,0.8663977728661241,-0.9930347151573679,2.0200072251486776,1.4646562794021063,-0.5004236006752929,-1.166768633757464,0.47417474740851945
1627575935569,2021-07-29 19:25:35,1.0,-113.0,43.5,138,6417,1,0,69935,6531.436978184816,88.79810560422891,0,0,0,0,1,7,0.7855687949347995,1.3048485783199886,2.02113836046895,0.07111201566107267,-1.3095942188227514,0.045179793290303465,1.367670417910712
1627575938833,2021-07-29 19:25:38,100.0,15.0,41.1,123,6237,1,0,69938,6222.042510301581,89.78820364409339,0,0,0,0,1,7,0.5332680017921699,1.3218364865696342,2.021316960782677,1.0855302664725606,-0.07657232450281459,0.041294513015519,1.2756101885515851
