HitTime,HitLocalTime,HitX,HitY,Arc,OriginX,OriginY,Made,HitBackboard
1627576034328,Thu Jul 29 2021 19:27:14 GMT+0300 (Israel Daylight Time),-64.0,10.0,38.3,4867,3875,TRUE,FALSE
1627576045641,Thu Jul 29 2021 19:27:25 GMT+0300 (Israel Daylight Time),-114.0,-134.0,40.9,6045,-67,FALSE,FALSE
1627576048833,Thu Jul 29 2021 19:27:28 GMT+0300 (Israel Daylight Time),-146.0,-15.0,39.5,5972,119,TRUE,FALSE
1627576052501,Thu Jul 29 2021 19:27:32 GMT+0300 (Israel Daylight Time),-100.0,-85.0,39.0,5751,135,TRUE,FALSE
1627576055576,Thu Jul 29 2021 19:27:35 GMT+0300 (Israel Daylight Time),-161.0,57.0,38.6,5775,247,FALSE,TRUE
1627576058735,Thu Jul 29 2021 19:27:38 GMT+0300 (Israel Daylight Time),-164.0,-21.0,39.2,6002,69,TRUE,FALSE
1627576062016,Thu Jul 29 2021 19:27:42 GMT+0300 (Israel Daylight Time),-46.0,-86.0,39.3,5739,90,TRUE,FALSE
1627576065416,Thu Jul 29 2021 19:27:45 GMT+0300 (Israel Daylight Time),-109.0,-97.0,39.8,5732,89,TRUE,FALSE
1627576068537,Thu Jul 29 2021 19:27:48 GMT+0300 (Israel Daylight Time),-112.0,93.0,43.1,5739,97,TRUE,FALSE
1627576071983,Thu Jul 29 2021 19:27:51 GMT+0300 (Israel Daylight Time),-31.0,-96.0,40.1,5688,246,TRUE,TRUE
1627576075122,Thu Jul 29 2021 19:27:55 GMT+0300 (Israel Daylight Time),-77.0,3.0,41.4,5713,70,TRUE,FALSE
1627576078570,Thu Jul 29 2021 19:27:58 GMT+0300 (Israel Daylight Time),-248.0,-59.0,39.8,5753,77,FALSE,FALSE
1627576082285,Thu Jul 29 2021 19:28:02 GMT+0300 (Israel Daylight Time),-147.0,-46.0,40.0,5573,87,TRUE,FALSE
1627576085817,Thu Jul 29 2021 19:28:05 GMT+0300 (Israel Daylight Time),-13.0,2.0,39.0,5825,289,TRUE,TRUE
1627576092143,Thu Jul 29 2021 19:28:12 GMT+0300 (Israel Daylight Time),324.0,858.0,72.0,228,1252,FALSE,FALSE
1627576269190,Thu Jul 29 2021 19:31:09 GMT+0300 (Israel Daylight Time),10.0,-65.0,40.6,-7144,330,TRUE,TRUE
1627576272676,Thu Jul 29 2021 19:31:12 GMT+0300 (Israel Daylight Time),-125.0,-14.0,41.1,-6597,285,FALSE,TRUE
1627576276030,Thu Jul 29 2021 19:31:16 GMT+0300 (Israel Daylight Time),-167.0,32.0,40.1,-6844,29,FALSE,FALSE
1627576279956,Thu Jul 29 2021 19:31:19 GMT+0300 (Israel Daylight Time),76.0,135.0,43.3,-6931,244,FALSE,TRUE
1627576283494,Thu Jul 29 2021 19:31:23 GMT+0300 (Israel Daylight Time),-76.0,21.0,40.5,-6672,380,TRUE,TRUE
1627576287053,Thu Jul 29 2021 19:31:27 GMT+0300 (Israel Daylight Time),107.0,143.0,44.3,-6624,67,FALSE,FALSE
1627576290600,Thu Jul 29 2021 19:31:30 GMT+0300 (Israel Daylight Time),107.0,-47.0,42.1,-6717,115,TRUE,FALSE
1627576293928,Thu Jul 29 2021 19:31:33 GMT+0300 (Israel Daylight Time),-51.0,163.0,42.5,-6718,11,FALSE,FALSE
1627576297509,Thu Jul 29 2021 19:31:37 GMT+0300 (Israel Daylight Time),80.0,-5.0,41.5,-6605,57,TRUE,FALSE
1627576301058,Thu Jul 29 2021 19:31:41 GMT+0300 (Israel Daylight Time),-20.0,-62.0,42.5,-6663,137,TRUE,FALSE
1627576305253,Thu Jul 29 2021 19:31:45 GMT+0300 (Israel Daylight Time),-106.0,-147.0,38.2,-6501,146,FALSE,FALSE
1627576309649,Thu Jul 29 2021 19:31:49 GMT+0300 (Israel Daylight Time),105.0,-49.0,41.5,-6541,66,TRUE,FALSE
1627576313202,Thu Jul 29 2021 19:31:53 GMT+0300 (Israel Daylight Time),59.0,104.0,39.5,-6771,135,TRUE,FALSE
1627576316857,Thu Jul 29 2021 19:31:56 GMT+0300 (Israel Daylight Time),181.0,0.0,38.6,-6581,41,FALSE,FALSE
1627576320320,Thu Jul 29 2021 19:32:00 GMT+0300 (Israel Daylight Time),-55.0,-63.0,42.7,-6646,129,TRUE,FALSE
1627576323631,Thu Jul 29 2021 19:32:03 GMT+0300 (Israel Daylight Time),64.0,54.0,40.0,-6841,200,TRUE,FALSE
1627576327164,Thu Jul 29 2021 19:32:07 GMT+0300 (Israel Daylight Time),22.0,-7.0,42.7,-6515,281,TRUE,TRUE
1627576347240,Thu Jul 29 2021 19:32:27 GMT+0300 (Israel Daylight Time),55.0,8.0,44.5,-4950,5345,TRUE,FALSE
1627576350824,Thu Jul 29 2021 19:32:30 GMT+0300 (Israel Daylight Time),-147.0,-47.0,41.7,-5455,5363,FALSE,FALSE
